producto_raw,precio_anterior,precio_actual,variacion,boletin_num,mes,año,quincena,quincena_id,provincia,categoria,estado_precio
Aguacate Fuerte (Ciento aprox. 55 lb),60.0,70.83,18.0,313,4,2026,2,2026-04-Q2,AZUAY,perecedero,completo
ALVAI,,,,318,7,2026,1,2026-07-Q1,AZUAY,perecedero,invalido
ALVAI,,,,317,6,2026,2,2026-06-Q2,AZUAY,perecedero,invalido
Aguacate Fuerte (Ciento aprox. 55 lb),56.67,56.25,-1.0,307,1,2026,2,2026-01-Q2,AZUAY,perecedero,completo
Aguacate Fuerte (Ciento aprox. 55 lb),51.67,60.0,16.0,311,3,2026,2,2026-03-Q2,AZUAY,perecedero,completo
Aguacate Fuerte (Ciento aprox. 55 lb),70.83,76.67,8.0,315,5,2026,2,2026-05-Q2,AZUAY,perecedero,completo
Aguacate Fuerte (Ciento aprox. 55 lb),56.25,51.67,-8.0,309,2,2026,2,2026-02-Q2,AZUAY,perecedero,completo
Ajo Bulbo Seco (Malla aprox. 22 lb),18.0,18.0,0.0,309,2,2026,2,2026-02-Q2,AZUAY,perecedero,completo
Aguacate Fuerte (Ciento aprox. 55 lb),76.67,75.0,-2.0,317,6,2026,2,2026-06-Q2,AZUAY,perecedero,completo
Aguacate Fuerte (Ciento aprox. 55 lb),75.0,75.0,0.0,318,7,2026,1,2026-07-Q1,AZUAY,perecedero,completo
Ajo Bulbo Seco (Malla aprox. 22 lb),21.83,20.17,-8.0,315,5,2026,2,2026-05-Q2,AZUAY,perecedero,completo
Ajo Bulbo Seco (Malla aprox. 22 lb),18.0,18.0,0.0,307,1,2026,2,2026-01-Q2,AZUAY,perecedero,completo
Ajo Bulbo Seco (Malla aprox. 22 lb),19.88,21.83,10.0,313,4,2026,2,2026-04-Q2,AZUAY,perecedero,completo
Ajo Bulbo Seco (Malla aprox. 22 lb),18.0,19.88,10.0,311,3,2026,2,2026-03-Q2,AZUAY,perecedero,completo
Arveja Tierna en Vaina-Quantum (Saco aprox. 60 lb),13.13,21.5,64.0,309,2,2026,2,2026-02-Q2,AZUAY,perecedero,completo
Ajo Bulbo Seco (Malla aprox. 22 lb),21.13,22.0,4.0,318,7,2026,1,2026-07-Q1,AZUAY,perecedero,completo
