producto,provincia,periodo,precio_actual,precio_t1,precio_t2,variacion_t2_t1,promedio_movil_2q,promedio_movil_3q,volatilidad_3q,momentum,año,mes,quincena,variacion_real,comportamiento,categoria,producto_encoded,provincia_encoded,categoria_perecedero
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2019-01-Q2,26.25,26.25,,,,,0.0,0.0,2019,1,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2019-02-Q1,26.1,26.25,26.25,0.0,26.25,,0.0,0.0,2019,2,1,-0.57,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2019-02-Q2,26.55,26.1,26.25,-0.57,26.175,26.2,0.0866,-0.0057,2019,2,2,1.72,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2019-03-Q1,26.25,26.55,26.1,1.72,26.325,26.3,0.2291,0.0114,2019,3,1,-1.13,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2019-03-Q2,26.75,26.25,26.55,-1.13,26.4,26.3,0.2291,0.0057,2019,3,2,1.9,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2019-04-Q1,27.0,26.75,26.25,1.9,26.5,26.5167,0.2517,0.0075,2019,4,1,0.93,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2019-04-Q2,27.0,27.0,26.75,0.93,26.875,26.6667,0.3819,0.0286,2019,4,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2019-05-Q1,27.0,27.0,27.0,0.0,27.0,26.9167,0.1443,0.0093,2019,5,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2019-05-Q2,27.0,27.0,27.0,0.0,27.0,27.0,0.0,0.0,2019,5,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2019-06-Q1,27.0,27.0,27.0,0.0,27.0,27.0,0.0,0.0,2019,6,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2019-06-Q2,27.0,27.0,27.0,0.0,27.0,27.0,0.0,0.0,2019,6,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2019-07-Q1,27.0,27.0,27.0,0.0,27.0,27.0,0.0,0.0,2019,7,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2019-07-Q2,27.0,27.0,27.0,0.0,27.0,27.0,0.0,0.0,2019,7,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2019-08-Q1,27.0,27.0,27.0,0.0,27.0,27.0,0.0,0.0,2019,8,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2019-08-Q2,27.0,27.0,27.0,0.0,27.0,27.0,0.0,0.0,2019,8,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2019-09-Q1,27.0,27.0,27.0,0.0,27.0,27.0,0.0,0.0,2019,9,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2019-09-Q2,27.0,27.0,27.0,0.0,27.0,27.0,0.0,0.0,2019,9,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2019-10-Q1,27.0,27.0,27.0,0.0,27.0,27.0,0.0,0.0,2019,10,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2019-10-Q2,27.0,27.0,27.0,0.0,27.0,27.0,0.0,0.0,2019,10,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2019-11-Q1,27.0,27.0,27.0,0.0,27.0,27.0,0.0,0.0,2019,11,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2019-11-Q2,27.0,27.0,27.0,0.0,27.0,27.0,0.0,0.0,2019,11,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2019-12-Q1,27.0,27.0,27.0,0.0,27.0,27.0,0.0,0.0,2019,12,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2019-12-Q2,27.0,27.0,27.0,0.0,27.0,27.0,0.0,0.0,2019,12,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2020-01-Q1,26.63,27.0,27.0,0.0,27.0,27.0,0.0,0.0,2020,1,1,-1.37,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2020-01-Q2,26.44,26.63,27.0,-1.37,26.815,26.8767,0.2136,-0.0137,2020,1,2,-0.71,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2020-02-Q1,26.25,26.44,26.63,-0.71,26.535,26.69,0.2848,-0.0207,2020,2,1,-0.72,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2020-02-Q2,26.25,26.25,26.44,-0.72,26.345,26.44,0.19,-0.0143,2020,2,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2020-03-Q1,26.25,26.25,26.25,0.0,26.25,26.3133,0.1097,-0.0072,2020,3,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2020-03-Q2,26.25,26.25,26.25,0.0,26.25,26.25,0.0,0.0,2020,3,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2020-04-Q1,26.25,26.25,26.25,0.0,26.25,26.25,0.0,0.0,2020,4,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2020-04-Q2,26.25,26.25,26.25,0.0,26.25,26.25,0.0,0.0,2020,4,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2020-05-Q1,26.25,26.25,26.25,0.0,26.25,26.25,0.0,0.0,2020,5,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2020-05-Q2,26.0,26.25,26.25,0.0,26.25,26.25,0.0,0.0,2020,5,2,-0.95,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2020-06-Q1,26.25,26.0,26.25,-0.95,26.125,26.1667,0.1443,-0.0095,2020,6,1,0.96,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2020-06-Q2,26.25,26.25,26.0,0.96,26.125,26.1667,0.1443,0.0,2020,6,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2020-07-Q1,26.25,26.25,26.25,0.0,26.25,26.1667,0.1443,0.0096,2020,7,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2020-07-Q2,26.25,26.25,26.25,0.0,26.25,26.25,0.0,0.0,2020,7,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2020-08-Q1,26.25,26.25,26.25,0.0,26.25,26.25,0.0,0.0,2020,8,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2020-08-Q2,26.25,26.25,26.25,0.0,26.25,26.25,0.0,0.0,2020,8,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2020-09-Q1,26.25,26.25,26.25,0.0,26.25,26.25,0.0,0.0,2020,9,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2020-09-Q2,26.25,26.25,26.25,0.0,26.25,26.25,0.0,0.0,2020,9,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2020-10-Q1,26.25,26.25,26.25,0.0,26.25,26.25,0.0,0.0,2020,10,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2020-10-Q2,26.25,26.25,26.25,0.0,26.25,26.25,0.0,0.0,2020,10,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2020-11-Q1,26.25,26.25,26.25,0.0,26.25,26.25,0.0,0.0,2020,11,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2020-11-Q2,26.25,26.25,26.25,0.0,26.25,26.25,0.0,0.0,2020,11,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2020-12-Q1,26.25,26.25,26.25,0.0,26.25,26.25,0.0,0.0,2020,12,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2020-12-Q2,26.25,26.25,26.25,0.0,26.25,26.25,0.0,0.0,2020,12,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2021-01-Q1,26.25,26.25,26.25,0.0,26.25,26.25,0.0,0.0,2021,1,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2021-01-Q2,26.25,26.25,26.25,0.0,26.25,26.25,0.0,0.0,2021,1,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2021-02-Q1,26.25,26.25,26.25,0.0,26.25,26.25,0.0,0.0,2021,2,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2021-02-Q2,26.25,26.25,26.25,0.0,26.25,26.25,0.0,0.0,2021,2,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2021-03-Q1,26.25,26.25,26.25,0.0,26.25,26.25,0.0,0.0,2021,3,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2021-03-Q2,26.25,26.25,26.25,0.0,26.25,26.25,0.0,0.0,2021,3,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2021-04-Q1,28.5,26.25,26.25,0.0,26.25,26.25,0.0,0.0,2021,4,1,8.57,Alza,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2021-04-Q2,28.5,28.5,26.25,8.57,27.375,27.0,1.299,0.0857,2021,4,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2021-05-Q1,28.5,28.5,28.5,0.0,28.5,27.75,1.299,0.0857,2021,5,1,0.0,Estable,no_perecedero,0,0,0
